;P_SMA_TI;P_SMK_TI;P_MA_TI; IU_SMA_TI ; IU_SMK_TI ; IU_MA_TI ;P_SMA_SI;P_SMK_SI;P_MA_SI;IU_SMA_SI;IU_SMK_SI;IU_MA_SI;Jml_Mhs_TI;Jml_Mhs_SI;;;;;
2023; 235 ; 117 ; 39 ; 208 ; 104 ; 35 ; 142 ; 71 ; 24 ; 125 ; 63 ; 21 ;346;209;;;;137;0,246846847
2022; 344 ; 172 ; 57 ; 304 ; 152 ; 51 ; 129 ; 65 ; 22 ; 115 ; 57 ; 19 ;507;191;;;;;
2021; 199 ; 99 ; 33 ; 176 ; 88 ; 29 ; 106 ; 53 ; 18 ; 94 ; 47 ; 16 ;293;157;;;;;
2020; 162 ; 81 ; 27 ; 143 ; 72 ; 24 ; 86 ; 43 ; 14 ; 76 ; 38 ; 13 ;239;127;;;;;
2019; 138 ; 69 ; 23 ; 122 ; 61 ; 20 ; 62 ; 31 ; 10 ; 55 ; 28 ; 9 ;204;92;;;;;
2018; 120 ; 60 ; 20 ; 106 ; 53 ; 18 ; 52 ; 26 ; 9 ; 46 ; 23 ; 8 ;177;76;;;;;
2017; 168 ; 84 ; 28 ; 149 ; 74 ; 25 ; 41 ; 21 ; 7 ; 37 ; 18 ; 6 ;248;61;;;;;
2016; 189 ; 95 ; 32 ; 167 ; 84 ; 28 ; 69 ; 35 ; 12 ; 61 ; 31 ; 10 ;279;102;;;;;
2015; 151 ; 76 ; 25 ; 134 ; 67 ; 22 ; 97 ; 48 ; 16 ; 86 ; 43 ; 14 ;223;143;;;;;
2014; 137 ; 68 ; 23 ; 121 ; 61 ; 20 ; 109 ; 55 ; 18 ; 97 ; 48 ; 16 ;202;161;;;;;
2013; 116 ; 58 ; 19 ; 103 ; 51 ; 17 ; 120 ; 60 ; 20 ; 106 ; 53 ; 18 ;171;177;;;;171;
